itemNumber,price,freightCost/surcharge,eligibility(Promotion Restriction),category,brand,image,minRetailQty,Instock Qty,Shipping_date,date
G0517352,5.25,0.0,NO,"Plumbing / Pipes, Valves & Fittings / Plumbing Accessories / Pipe Test Plugs",Cherne,Z_HC1xfo5oy.JPG,1,0,1,2024-08-26 11:55:28
G0464222,32.95,0.0,YES,Tools & Machining / Hand Tools / Clamps / Locking Clamps,Irwin,Z3_xuxfo5oy.JPG,1,0,1,2024-08-26 11:55:34
G8817076,14.19,0.0,YES,"Welding, Soldering & Brazing / Welding Parts & Supplies / Soldering Tips",Hakko,Z0qIHxncpEx_.JPG,1,0,1,2024-08-26 11:55:41
G1248265,11.99,0.0,YES,Electrical Supplies / Fuses & Accessories / Fuses / Ceramic Fuses,Eaton Bussmann,Z_zMsyfo5oy.JPG,1,0,1,2024-08-26 11:55:45
G2879825,10.45,0.0,YES,Tools & Machining / Hand Tools / Hand Tool Parts / Cutter Parts,Westward,Z28Orxfo5oy.JPG,1,0,1,2024-08-26 11:55:51
G1928796,18.79,0.0,YES,Electrical Supplies / Fuses & Accessories / Fuses / Glass Fuses,Eaton Bussmann,Z__Bq0fo5oy.JPG,1,0,1,2024-08-26 11:55:57
G0648392,7.55,0.0,YES,Hardware & Building Materials / Key Control & Identification / Keys,Kaba Ilco,Z_2-D-fo5oy.JPG,1,0,1,2024-08-26 11:56:03
G4468615,11.29,0.0,YES,Electrical Supplies / Data & Communication / Voice & Data Patch Cords,Monoprice,Z_sMpuicpIx_.JPG,1,0,1,2024-08-26 11:56:08
G0278713,128.99,0.0,YES,Electrical Supplies / Industrial Control & Automation / Switches / Push Buttons & Indicators / Push Button Control Stations,Hubbell Wiring Device-Kellems,Z2_up_fo5oz.JPG,1,0,1,2024-08-26 11:56:16
G5431645,7.19,0.0,YES,Janitorial & Cleaning Supplies / Cleaning Supplies / Brushes,Vikan,Z2q66xlcpEx_.JPG,1,0,1,2024-08-26 11:56:22
G0685194,4.55,0.0,YES,Electrical Supplies / Electrical Boxes & Covers / Electrical Boxes,Raco,Z1ytr0fo5oy.JPG,1,0,1,2024-08-26 11:56:27
G7367921,7.25,0.0,YES,Power Transmission / Fluids & Lubricants / Grease Fittings,Westward,Z2qCL_mcpEx_.JPG,1,0,1,2024-08-26 11:56:33
G1424071,22.89,0.0,YES,"Tools & Machining / Hand Tools / Knives, Cutters & Snips / Utility Knife Blades",Irwin,Z15-wvfo5o_.JPG,1,0,1,2024-08-26 11:56:41
G1118564,12.79,0.0,YES,Fasteners / Pins / Clevis Pins,Itw Bee Leitzke,Z_I51-fo5oy.JPG,1,0,1,2024-08-26 11:56:48
G1191942,20.19,0.0,YES,"Power Transmission / Compressors, Air Tanks & Pneumatic Parts / Compressed Air Dryers / Desiccant Dryers",Speedaire,Z3L1uwfo5oy.JPG,1,0,1,2024-08-26 11:56:53
